Location,SampleName,Species,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,AllSyms,propD,logPropD,Dominant,background,Reef,Latitude,Longitude
Fisher Island Outside,FI56,Pstr,RK_NSF_Sym_FI_3.csv,NaN,25.99720573425293,NaN,35.988651275634766,NA,0.20878402358017406,NA,0.07676795575168283,0,2,0,2,0.06748215462542059,3053.838477040603,1.751791200347619e-4,Bd,3.2734954974403664e-4,-3.4849882520959325,B,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI57,Pcli,RK_NSF_Sym_FI_3.csv,NaN,26.050270080566406,NaN,35.35686111450195,NA,0.05894085035593891,NA,NA,0,2,0,1,0.06748215462542059,1899.6968968691745,1.751791200347619e-4,B,0,-7,B,,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI58,Pstr,RK_NSF_Sym_FI_3.csv,NaN,27.40836524963379,NaN,NaN,NA,0.05200044451795297,NA,NA,0,2,0,0,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,B,0,-7,B,,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI59,Acer,RK_NSF_Sym_FI_4.csv,NaN,NaN,NaN,30.19527816772461,NA,NA,NA,0.26941074787654873,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI6,Pcli,RK_NSF_FI_1.csv,NaN,22.788060188293457,NaN,NaN,NA,0.13739333134890516,NA,NA,0,2,0,0,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,B,0,-7,B,,None,25 45.516 N,80 8.6285 W
Fisher Island Outside,FI60,Apal,RK_NSF_Sym_FI_4.csv,NaN,NaN,NaN,28.166030883789062,NA,NA,NA,0.1452360169198123,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI61,Past,RK_NSF_Sym_FI_4.csv,32.74477087402344,33.905216217041016,NaN,35.58283233642578,1.6836566790293002,NA,NA,NA,2,1,0,1,21.451757775411302,9.596967583750434,1.751791200347619e-4,A,0,-7,A,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI62,Srad,RK_NSF_Sym_FI_4.csv,NaN,NaN,NaN,36.54743576049805,NA,NA,NA,0.5081952354015653,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI63,Ssid,RK_NSF_Sym_FI_4.csv,NaN,NaN,NaN,28.237170219421387,NA,NA,NA,0.2849329264209289,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI64,Pcli,RK_NSF_Sym_FI_4.csv,NaN,24.443212509155273,NaN,NaN,NA,0.1562036384267112,NA,NA,0,2,0,0,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,B,0,-7,B,,None,25 45.516 N,80 8.6285 W
Fisher Island Outside,FI65,Pstr,RK_NSF_Sym_FI_4.csv,NaN,26.15080738067627,NaN,36.52915954589844,NA,0.189118641239779,NA,0.3607014961007214,0,2,0,2,0.06748215462542059,3993.158620231321,1.751791200347619e-4,Bd,2.503656201671042e-4,-3.601425308036759,B,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI66,Pstr,RK_NSF_Sym_FI_4.csv,NaN,27.35175323486328,NaN,37.4490852355957,NA,0.11622549815279373,NA,NA,0,2,0,1,0.06748215462542059,3286.4048521078394,1.751791200347619e-4,B,0,-7,B,,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI69,Past,RK_NSF_Sym_FI_4.csv,33.74530874633789,NaN,NaN,36.32669448852539,0.23516457900011287,NA,NA,NA,2,0,0,1,17.95542931142628,0.011346729480177016,1.751791200347619e-4,A,0,-7,A,,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI7,Ofav,RK_NSF_FI_1.csv,NaN,34.07387924194336,NaN,32.540489196777344,NA,NA,NA,0.4525155395960053,0,1,0,2,0.06748215462542059,1.0363939188960485,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Outside,FI70,Mcav,RK_NSF_Sym_FI_4.csv,NaN,34.53737258911133,26.664387550354004,27.490830421447754,NA,NA,0.1416228518906704,0.06732031818948082,0,1,2,2,0.06748215462542059,0.022693458960354032,0.2313010011787125,CD,0.18785089994833942,-0.7261867199955309,C,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI71,Ssid,RK_NSF_Sym_FI_4.csv,NaN,NaN,NaN,33.034358978271484,NA,NA,NA,0.06519072222792237,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI72,Pcli,RK_NSF_Sym_FI_4.csv,NaN,25.0473575592041,NaN,NaN,NA,0.02925058721613663,NA,NA,0,2,0,0,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,B,0,-7,B,,None,25 45.516 N,80 8.6285 W
Fisher Island Outside,FI73,Ssid,RK_NSF_Sym_FI_4.csv,NaN,32.982181549072266,35.2749536895752,35.04322624206543,NA,NA,0.29179106161062157,0.10400358643421063,0,1,2,2,0.06748215462542059,12.518650929412722,0.11108016244159455,CD,0.09997493087942125,-1.0001088874564694,C,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI74,Sbou,RK_NSF_Sym_FI_4.csv,NaN,32.355716705322266,NaN,36.91091728210449,NA,0.39140867840139454,NA,0.02102082498850542,0,2,0,2,0.06748215462542059,70.52989943343654,1.751791200347619e-4,Bd,0.01398016784478452,-1.854487614453989,B,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI75,Pstr,RK_NSF_Sym_FI_5.csv,NaN,28.15771484375,NaN,36.25661087036133,NA,0.11573457166133884,NA,1.1714585045435641,0,2,0,2,0.06748215462542059,822.4923939848165,1.751791200347619e-4,Bd,0.0012143402990780238,-2.9156595922541904,B,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI76,Pcli,RK_NSF_Sym_FI_5.csv,NaN,24.285765647888184,NaN,35.84741973876953,NA,0.003915273639268012,NA,NA,0,2,0,1,0.06748215462542059,9068.301178168158,1.751791200347619e-4,B,0,-7,B,,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI77,Past,RK_NSF_Sym_FI_5.csv,34.01898085021973,NaN,NaN,35.80032157897949,0.5864548524157457,NA,NA,0.593230716957145,2,0,0,2,10.312364296268951,0.011346729480177016,1.751791200347619e-4,Ad,0.08839885047989662,-1.053553382424525,A,D,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI78,Mmea,RK_NSF_Sym_FI_5.csv,36.121273864746094,29.241365432739258,NaN,34.3064022064209,NA,0.11063379146715639,NA,0.541802120879788,1,2,0,2,0.8526885814479491,100.42671402159186,1.751791200347619e-4,Bd,0.00985933547829538,-2.0061523556302894,B,D,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI79,Sint,RK_NSF_Sym_FI_5.csv,35.546261657714844,NaN,NaN,33.70503616333008,0.7271322662006197,NA,NA,0.666985678802481,2,0,0,2,0.8372538478156342,0.011346729480177016,1.751791200347619e-4,AD,0.4557093995536165,-0.3413120134799435,A,D,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI80,Ssid,RK_NSF_Sym_FI_5.csv,37.789528717041016,35.291038513183594,33.55942520141602,NaN,NA,NA,1.7873446698618611,NA,1,1,2,0,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,C,0,-7,C,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI9,Ofav,RK_NSF_FI_1.csv,NaN,NaN,NaN,33.677398681640625,NA,NA,NA,0.2707216834526316,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
