SampleName,Tag ID,Tag Color,Species,Timepoint,...6,Date,Collection Species,Location,Depth,Notes,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,qpcrRun,Dominant,propD,logPropD,Reef,Latitude,Longitude
135NI,21,Blue,Dlab,Initial,NA,2019-09-26T00:00:00Z,Dlab,RR1,43,NA,RK_NSF_SYM_Initials_14.csv,NaN,NaN,NaN,32.17682075500488,NA,NA,NA,0.15307465639326243,0,0,0,2,NaN,NaN,NaN,14,D,1,0,Rainbow,25 41.594 N,80 5.832 W
136NI,43,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR1,35,NA,RK_NSF_SYM_Initials_14.csv,NaN,NaN,NaN,28.47378158569336,NA,NA,NA,0.41418011488964845,0,0,0,2,NaN,NaN,NaN,14,D,1,0,Rainbow,25 41.594 N,80 5.832 W
137NI,40,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR1,22,NA,RK_NSF_SYM_Initials_13.csv,31.50768076324463,NaN,27.413473930358887,37.24336242675781,0.35028818994543776,NA,0.028531730567934822,NA,2,0,2,1,159.85767087655452,NaN,118.70929073017695,13,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
138NI,47,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR1,25,NA,RK_NSF_SYM_Initials_14.csv,NaN,33.0897216796875,NaN,31.474422454833984,NA,NA,NA,0.29883936338079536,0,1,0,2,NaN,0.9791917281688186,NaN,14,D,1,0,Rainbow,25 41.594 N,80 5.832 W
139NI,19,Blue,Ssid,Initial,NA,2019-09-26T00:00:00Z,Ssid,RR1,23,NA,RK_NSF_SYM_Initials_15.csv,32.240347732543945,NaN,19.51826461791992,27.457823753356934,4.282942515189767,NA,NA,10.950300163685275,2,0,1,2,0.10900290742709035,NaN,32.02129346722066,15,A,0.09828910879952456,-1.0074946027204372,Rainbow,25 41.594 N,80 5.832 W
13NI,98,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Sbou,EM1,26,NA,RK_NSF_SYM_Initials_1.csv,NaN,NaN,23.85774215698242,NaN,NA,NA,0.17887257377938662,NA,0,0,2,0,NaN,NaN,NaN,1,C,0,-7,Emerald,25 40.64 N,80 6.028 W
140NI,69,Blue,Sbou,Initial,NA,2019-09-26T00:00:00Z,Sbou,RR1,23,NA,RK_NSF_SYM_Initials_13.csv,NaN,31.706451416015625,NaN,37.182613372802734,NA,0.22031270393445,NA,NA,0,2,0,1,NaN,133.539659590282,NaN,13,B,0,-7,Rainbow,25 41.594 N,80 5.832 W
145NI,54,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR1,23,NA,RK_NSF_SYM_Initials_14.csv,NaN,35.05300521850586,NaN,32.24080848693848,NA,NA,NA,0.11182064672122317,0,1,0,2,NaN,0.42713551660856924,NaN,14,D,1,0,Rainbow,25 41.594 N,80 5.832 W
149NI,31,Blue,Pstr,Initial,NA,2019-09-26T00:00:00Z,Pstr,RR4,18,NA,RK_NSF_SYM_Initials_15.csv,NaN,NaN,33.28859313964844,31.47854518890381,NA,NA,NA,0.17834253501251363,0,0,1,2,NaN,NaN,0.03719758046811578,15,D,1,0,Rainbow,25 41.482 N,80 5.830 W
14NI,45,Green,Sbou,Initial,NA,2019-09-15T00:00:00Z,Sbou,EM1,"NA",NA,RK_NSF_SYM_Initials_10.csv,NaN,30.66778564453125,NaN,37.044742584228516,NA,0.41517275746577703,NA,NA,0,2,0,1,NaN,249.33116979387995,NaN,10,B,0,-7,Emerald,25 40.64 N,80 6.028 W
