* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2020-03-10 15:55:38 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Exumas\Data\qPCR\marinetrip.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2020-03-10 14:30:33 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	HIGHSD	NOAMP
46	D10	false	EX0559	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
47	D11	false	EX0559	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	16	No Amp		N	N	Y
48	D12	false	EX0559	C	UNKNOWN	VIC	NFQ-MGB	26.998	26.611	0.548								false	0.010	true	3	26	Amp		N	Y	N
48	D12	false	EX0559	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
49	E1	false	EX0282	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
50	E2	false	EX0282	B	UNKNOWN	FAM	NFQ-MGB	32.858	32.828	0.043								false	0.010	true	3	31	Amp		N	N	N
51	E3	false	EX0282	C	UNKNOWN	VIC	NFQ-MGB	28.774	29.200	0.602								false	0.010	true	3	27	Amp		N	Y	N
51	E3	false	EX0282	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	11	No Amp		N	N	Y
52	E4	false	EX0299	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	16	No Amp		N	N	N
53	E5	false	EX0299	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
54	E6	false	EX0299	C	UNKNOWN	VIC	NFQ-MGB	25.357	25.452	0.135								false	0.010	true	3	24	Amp		N	N	N
54	E6	false	EX0299	D	UNKNOWN	FAM	NFQ-MGB	27.361	27.261	0.140								false	0.010	true	3	26	Amp		N	N	N
55	E7	false	EX0551	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
56	E8	false	EX0551	B	UNKNOWN	FAM	NFQ-MGB	32.756	31.907	1.200								false	0.010	true	3	31	Amp		N	Y	N
57	E9	false	EX0551	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
57	E9	false	EX0551	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
58	E10	false	PTC	A	UNKNOWN	FAM	NFQ-MGB	29.933	30.141	0.295								false	0.010	true	3	30	Amp		N	N	N
59	E11	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	36.182	36.182									false	0.010	true	3	35	Inconclusive		N	N	N
60	E12	false	PTC	C	UNKNOWN	VIC	NFQ-MGB	37.651	35.645	2.837								false	0.010	true	3	34	Inconclusive		N	Y	N
60	E12	false	PTC	D	UNKNOWN	FAM	NFQ-MGB	31.081	32.355	1.803								false	0.010	true	3	29	Amp		N	Y	N
62	F2	false	EX0282	B	UNKNOWN	FAM	NFQ-MGB	32.798	32.828	0.043								false	0.010	true	3	31	Amp		N	N	N
63	F3	false	EX0282	C	UNKNOWN	VIC	NFQ-MGB	29.625	29.200	0.602								false	0.010	true	3	28	Amp		N	Y	N
63	F3	false	EX0282	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
64	F4	false	EX0299	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
65	F5	false	EX0299	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
66	F6	false	EX0299	C	UNKNOWN	VIC	NFQ-MGB	25.548	25.452	0.135								false	0.010	true	3	24	Amp		N	N	N
66	F6	false	EX0299	D	UNKNOWN	FAM	NFQ-MGB	27.162	27.261	0.140								false	0.010	true	3	26	Amp		N	N	N
67	F7	false	EX0551	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
68	F8	false	EX0551	B	UNKNOWN	FAM	NFQ-MGB	31.058	31.907	1.200								false	0.010	true	3	30	Amp		N	Y	N
69	F9	false	EX0551	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
69	F9	false	EX0551	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
70	F10	false	PTC	A	UNKNOWN	FAM	NFQ-MGB	30.349	30.141	0.295								false	0.010	true	3	29	Amp		N	N	N
71	F11	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined	36.182									false	0.010	true	3	39	No Amp		Y	N	Y
72	F12	false	PTC	C	UNKNOWN	VIC	NFQ-MGB	33.638	35.645	2.837								false	0.010	true	3	32	Amp		N	Y	N
72	F12	false	PTC	D	UNKNOWN	FAM	NFQ-MGB	33.630	32.355	1.803								false	0.010	true	3	33	Amp		N	Y	N
73	G1	false	EX0284	A	UNKNOWN	FAM	NFQ-MGB	34.091	33.368	1.023								false	0.010	true	3	33	Inconclusive		N	Y	N
