* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-08-04 11:28:48 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Exuma\qPCR\20190715_KP_02.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-15 15:06:37 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	NOISE	HIGHSD	DRNMIN	NOAMP	Tm1	Tm2	Tm3	Tm4
41	D5	false	EX0114	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
42	D6	false	EX0117	B	UNKNOWN	FAM	NFQ-MGB	34.102	34.090	0.017								false	0.010	true	3	33	Amp		0.832	N	N	N	N	N	N	N				
43	D7	false	EX0119	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
44	D8	false	EX0125	B	UNKNOWN	FAM	NFQ-MGB	29.720	29.687	0.047								false	0.010	true	3	29	Amp		0.915	N	N	N	N	N	N	N				
45	D9	false	EX0129	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
46	D10	false	EX0130	B	UNKNOWN	FAM	NFQ-MGB	29.696	29.760	0.090								false	0.010	true	3	29	Amp		0.899	N	N	N	N	N	N	N				
47	D11	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	29.166	29.951	1.109								false	0.010	true	3	28	Amp		0.917	N	N	N	N	Y	N	N				
48	D12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	33	No Amp		0.000	Y	N	N	N	N	N	Y				
49	E1	false	EX0062	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
49	E1	false	EX0062	D	UNKNOWN	FAM	NFQ-MGB	30.174	31.340	1.649								false	0.010	true	3	29	Amp		0.502	Y	N	N	N	Y	N	N				
50	E2	false	EX0065	C	UNKNOWN	VIC	NFQ-MGB	38.484	38.484									false	0.010	true	3	39	Amp		0.311	Y	Y	N	N	N	N	N				
50	E2	false	EX0065	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
51	E3	false	EX0066	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
